entity_id,Entity_Name,Year_Title,liquidity_group,W1_Forecast,W2_Forecast,W3_Forecast,W4_Forecast,week_start,W1_Available,W2_Available,W3_Available,W4_Available,LP_Available_Count,LP_Volatility,LP_Trend,LP_Avg_Magnitude
11G5,RECYCO,2023/CW38,TRP,-1224553.0,-2511985.0,-86618.0,-1459073.0,2023-09-18,True,True,True,True,4,995072.792174313,-78173.33333333333,-1320557.25
11G5,RECYCO,2023/CW39,TRP,-4019851.0,-165918.0,-1174819.0,-203909.0,2023-09-25,True,True,True,True,4,1813615.42158334,1271980.6666666667,-1391124.25
11G5,RECYCO,2023/CW40,TRP,-3992566.0,-1221674.0,-347968.0,-84331.0,2023-10-02,True,True,True,True,4,1787960.980520059,1302745.0,-1411634.75
11G5,RECYCO,2023/CW41,TRP,-1407950.0,-560241.0,-81734.0,-3051062.0,2023-10-09,True,True,True,True,4,1304713.9995210636,-547704.0,-1275246.75
11G5,RECYCO,2023/CW42,TRP,-832839.0,-152316.0,-3129765.0,-499166.0,2023-10-16,True,True,True,True,4,1346473.073218696,111224.33333333333,-1153521.5
11G5,RECYCO,2023/CW43,TRP,-260903.0,-3252652.0,-505939.0,-1674606.0,2023-10-23,True,True,True,True,4,1366552.9911630454,-471234.3333333333,-1423525.0
11G5,RECYCO,2023/CW44,TRP,-3368041.0,-577447.0,-1688022.0,-132293.0,2023-10-30,True,True,True,True,4,1441404.854892239,1078582.6666666667,-1441450.75
11G5,RECYCO,2023/CW45,TRP,-738613.0,-1817638.0,-181414.0,-457649.0,2023-11-06,True,True,True,True,4,716287.377095953,93654.66666666667,-798828.5
11G5,RECYCO,2023/CW46,TRP,-1851288.0,-282309.0,-2364552.0,-293050.0,2023-11-13,True,True,True,True,4,1071611.423546917,519412.6666666667,-1197799.75
11G5,RECYCO,2023/CW47,TRP,-419188.0,-2437640.0,-308742.0,-1912720.0,2023-11-20,True,True,True,True,4,1068389.6665672439,-497844.0,-1269572.5
11G5,RECYCO,2023/CW48,TRP,-3802631.0,-463928.0,-1678830.0,-181141.0,2023-11-27,True,True,True,True,4,1647515.450802713,1207163.3333333333,-1531632.5
11G5,RECYCO,2023/CW49,TRP,-614042.0,-1763037.0,-248038.0,-1782519.0,2023-12-04,True,True,True,True,4,788971.9257392285,-389492.3333333333,-1101909.0
11G5,RECYCO,2023/CW50,TRP,-1763179.0,-282224.0,-2650313.0,-171333.0,2023-12-11,True,True,True,True,4,1199989.315921153,530615.3333333334,-1216762.25
